chart_template_id:id,name,description,amount
l10n_ru_account_chart_template,,Налоги РФ,4
l10n_ru_account_chart_template,VAT,НДС,4
l10n_ru_account_chart_template,VATin,НДС входящий,4
l10n_ru_account_chart_template,VATout,НДС исходящий,4
l10n_ru_account_chart_template,Acc,Акцизы,4
l10n_ru_account_chart_template,NDFL,НДФЛ,4
l10n_ru_account_chart_template,STRAH,Страховые взносы,4
l10n_ru_account_chart_template,,Налог на прибыль,4
l10n_ru_account_chart_template,,Сборы,4
l10n_ru_account_chart_template,,Водный налог,4
l10n_ru_account_chart_template,,Государственная пошлина,4
l10n_ru_account_chart_template,,НДПИ,4
l10n_ru_account_chart_template,,УСНО,4
l10n_ru_account_chart_template,,ЕНВД,4
l10n_ru_account_chart_template,,Транспортный налог,4
l10n_ru_account_chart_template,,Налог на игорный бизнес,4
l10n_ru_account_chart_template,,Налог на имущество организации,4
l10n_ru_account_chart_template,,Земельный налог,4
