"id","code","name","parent_id:id","user_type:id","type","reconcile"
"chart_ru_0","0","План счетов (приказ Минфина РФ от 31 октября 2000 г. N 94н)","","view","view","True"
"chart_ru_01","01","Основные средства","chart_ru_0","view","view","True"
"chart_ru_01.1","01.1","По видам основных средств","chart_ru_01","view","view","True"
"chart_ru_02","02","Амортизация основных средств","chart_ru_0","view","view","True"
"chart_ru_03","03","Доходные вложения в материальные ценности","chart_ru_0","view","view","True"
"chart_ru_03.1","03.1","По видам материальных ценностей","chart_ru_03","view","view","True"
"chart_ru_04","04","Нематериальные активы","chart_ru_0","view","view","True"
"chart_ru_04.1","04.1","По видам нематериальных активов и по расходам на научно-исследовательские, опытно-конструкторские и технологические работы","chart_ru_04","view","view","True"
"chart_ru_05","05","Амортизация нематериальных активов","chart_ru_0","view","view","True"
"chart_ru_07","07","Оборудование к установке","chart_ru_0","view","view","True"
"chart_ru_08","08","Вложения во внеоборотные активы","chart_ru_0","view","view","True"
"chart_ru_08.1","08.1","Приобретение земельных участков","chart_ru_08","view","view","True"
"chart_ru_08.2","08.2","Приобретение объектов природопользования","chart_ru_08","view","view","True"
"chart_ru_08.3","08.3","Строительство объектов основных средств","chart_ru_08","view","view","True"
"chart_ru_08.4","08.4","Приобретение объектов основных средств","chart_ru_08","view","view","True"
"chart_ru_08.5","08.5","Приобретение нематериальных активов","chart_ru_08","view","view","True"
"chart_ru_08.6","08.6","Перевод молодняка животных в основное стадо","chart_ru_08","view","view","True"
"chart_ru_08.7","08.7","Приобретение взрослых животных","chart_ru_08","view","view","True"
"chart_ru_08.8","08.8","выполнение научно-исследовательских, опытно-конструкторских и технологических работ","chart_ru_08","view","view","True"
"chart_ru_09","09","Отложенные налоговые активы","chart_ru_0","view","view","True"
"chart_ru_10","10","Материалы","chart_ru_0","view","view","True"
"chart_ru_10.1","10.1","Сырье и материалы","chart_ru_10","view","view","True"
"chart_ru_10.2","10.2","Покупные полуфабрикаты и комплектующие изделия, конструкции и детали","chart_ru_10","view","view","True"
"chart_ru_10.3","10.3","Топливо","chart_ru_10","view","view","True"
"chart_ru_10.4","10.4","Тара и тарные материалы","chart_ru_10","view","view","True"
"chart_ru_10.5","10.5","Запасные части","chart_ru_10","view","view","True"
"chart_ru_10.6","10.6","Прочие материалы","chart_ru_10","view","view","True"
"chart_ru_10.1","10.1","7, Материалы, переданные в переработку на сторону","chart_ru_10","view","view","True"
"chart_ru_10.8","10.8","Строительные материалы","chart_ru_10","view","view","True"
"chart_ru_10.9","10.9","Инвентарь и хозяйственные принадлежности","chart_ru_10","view","view","True"
"chart_ru_10.10","10.10","Специальная оснастка и специальная одежда на складе","chart_ru_10","view","view","True"
"chart_ru_10.11","10.11","Специальная оснастка и специальная одежда в эксплуатации","chart_ru_10","view","view","True"
"chart_ru_11","11","Животные на выращивании","chart_ru_0","view","view","True"
"chart_ru_14","14","Резервы под снижение стоимости материальных ценностей","chart_ru_0","view","view","True"
"chart_ru_15","15","заготовление и приобретение материальных ценностей","chart_ru_0","view","view","True"
"chart_ru_16","16","Отклонение в стоимости материальных ценностей","chart_ru_0","view","view","True"
"chart_ru_19","19","Налог на добавленную стоимость по приобретенным ценностям","chart_ru_0","view","view","True"
"chart_ru_19.1","19.1","Налог на добавленную стоимость при приобретении основных средств","chart_ru_19","view","view","True"
"chart_ru_19.2","19.2","Налог на добавленную стоимость по приобретенным нематериальным активам","chart_ru_19","view","view","True"
"chart_ru_19.3","19.3","Налог на добавленную стоимость по приобретенным материально-производственным запасам","chart_ru_19","view","view","True"
"chart_ru_20","20","Основное производство","chart_ru_0","view","view","True"
"chart_ru_21","21","Полуфабрикаты собственного производства","chart_ru_0","view","view","True"
"chart_ru_23","23","Вспомогательные производства","chart_ru_0","view","view","True"
"chart_ru_35","35","Общепроизводственные расходы","chart_ru_0","view","view","True"
"chart_ru_26","26","Общехозяйственные расходы","chart_ru_0","view","view","True"
"chart_ru_28","28","Брак в производстве","chart_ru_0","view","view","True"
"chart_ru_29","29","Обслуживающие производства и хозяйства","chart_ru_0","view","view","True"
"chart_ru_40","40","Выпуск продукции (работ, услуг)","chart_ru_0","view","view","True"
"chart_ru_41","41","Товары","chart_ru_0","view","view","True"
"chart_ru_41.1","41.1","Товары на складах","chart_ru_41","view","view","True"
"chart_ru_41.2","41.2","Товары в розничной торговле","chart_ru_41","view","view","True"
"chart_ru_41.3","41.3","Тара под товаром и  порожняя","chart_ru_41","view","view","True"
"chart_ru_41.4","41.4","Покупные изделия","chart_ru_41","view","view","True"
"chart_ru_43","43","Готовая продукция","chart_ru_0","view","view","True"
"chart_ru_44","44","Расходы на продажу","chart_ru_0","view","view","True"
"chart_ru_45","45","Товары отгруженные","chart_ru_0","view","view","True"
"chart_ru_46","46","Выполненные этапы по незавершенным работам","chart_ru_0","view","view","True"
"chart_ru_50","50","Касса","chart_ru_0","view","view","True"
"chart_ru_50.1","50.1","Касса организации","chart_ru_50","view","view","True"
"chart_ru_50.2","50.2","Операционная касса","chart_ru_50","view","view","True"
"chart_ru_50.3","50.3","Денежные документы","chart_ru_50","view","view","True"
"chart_ru_51","51","Расчетные счета","chart_ru_0","view","view","True"
"chart_ru_52","52","Валютные счета","chart_ru_0","view","view","True"
